导演,演员2,演员1,电影,演员3,内容,评级,体裁,,,,
Charles T. Kanganis,Dustin Nguyen,Victor Wong,3 Ninjas Kick Back?,Don Stark,1990s|dagger|japan|mousetrap|stick fight,PG,Action,Comedy,,,
Frank Coraci,Steve Coogan,Jim Broadbent,Around the World in 80 Days?,Cécile De France,19th century|around the world|inventor|martial arts|train,PG,Action,,Comedy,,
Jon Favreau,Josh Hutcherson,Kristen Stewart,Zathura: A Space Adventure?,Jonah Bobo,2000s|coke|meeting future self|reference to spongebob squarepants|sony,PG,Action,,Comedy,,
Robert Rodriguez,Joel McHale,Alexa PenaVega,Spy Kids: All the Time in the World in 4D?,Daryl Sabara,2010s|3 dimensional|breath holding contest|child spy|spy,PG,Action,,Comedy,,
David Carson,Alan Ruck,LeVar Burton,Star Trek: Generations?,Jonathan Frakes,23rd century|bare chested male bondage|enterprise the starship|rescue|sacrifice,PG,Action,,,,
Jean-Pierre Jeunet,Julian Richings,Callum Rennie,The Young and Prodigious T.S. Spivet?,Judy Davis,3 dimensional|cartographer|punctuation in title|smithsonian|train,PG,Action,,Drama,,
David Kellogg,Rene Auberjonois,Matthew Broderick,Inspector Gadget?,Rupert Everett,actor playing multiple roles|claw|gadget|inspector|police,PG,Action,,Comedy,,
James Fargo,Joseph Cotten,Christopher Lee,Caravans?,Behrouz Vossoughi,afghanistan|caravan|rebel|russian|tribe,PG,Action,,,,
Eric Darnell,Jada Pinkett Smith,Bernie Mac,Madagascar: Escape 2 Africa?,Cedric the Entertainer,africa|madagascar|new york city|sequel|zoo,PG,Action,,,Comedy,
John Glen,Topol,Julian Glover,For Your Eyes Only?,Desmond Llewelyn,agent|british|ice skater|ship|spy,PG,Action,,,,
John Glen,Kabir Bedi,Louis Jourdan,Octopussy?,Steven Berkoff,agent|egg|faberge egg|general|russian,PG,Action,,,,
Richard Lester,Ned Beatty,Margot Kidder,Superman II?,Jackie Cooper,alien invasion|based on comic book|flying superhero|phantom zone|revenge,PG,Action,,,,
Rob Letterman,Rainn Wilson,Amy Poehler,Monsters vs. Aliens?,Stephen Colbert,alien|alien invasion|alien space craft|giant|giantess,PG,Action,,,Comedy,
Jonathan Frakes,Jonathan Frakes,LeVar Burton,Star Trek: Insurrection?,Michael Dorn,alien|captain|commander|conspiracy|planet,PG,Action,,,,
Don Bluth,Janeane Garofalo,Matt Damon,Titan A.E.?,Nathan Lane,alien|captain|escape|pilot|scientist,PG,Action,,,,
George Lucas,Liam Neeson,Natalie Portman,Star Wars: Episode I - The Phantom Menace?,Ian McDiarmid,alien|character says i have a bad feeling about this|hand to hand combat|seven word title|wilhelm scream,PG,Action,,,,
Willard Huyck,Jeffrey Jones,Lea Thompson,Howard the Duck?,Jordan Prentice,alien|duck|laser|planet|singer,PG,Action,,Comedy,,
Andy Fickman,Billy Brown,Dwayne Johnson,Race to Witch Mountain?,Tom Everett Scott,alien|military|mountain|spacecraft|ufo,PG,Action,,,,
William A. Fraker,Richard Farnsworth,Jason Robards,The Legend of the Lone Ranger?,Michael Horse,ambush|hero|masked hero|outlaw|texas ranger,PG,Action,,,,
Mike Hodges,William Hootkins,Brian Blessed,Flash Gordon?,Sam J. Jones,american football|cult film|emperor|flash gordon|mind reading,PG,Action,,,,
John McTiernan,Jeffrey Jones,Scott Glenn,The Hunt for Red October?,Courtney B. Vance,analyst|defection|navy|soviet submarine|submarine,PG,Action,,,,
Sam Weisman,Abraham Benrubi,Brendan Fraser,George of the Jungle?,Holland Taylor,animal companion|heiress|hero|jungle|male objectification,PG,Action,,Comedy,,
Cory Edwards,Chazz Palminteri,Anne Hathaway,Hoodwinked!?,Jim Belushi,animal|axe|red riding hood|wolf|woodsman,PG,Action,,Comedy,,
Ron Underwood,Mika Boorem,Charlize Theron,Mighty Joe Young?,David Paymer,animal|california|gorilla|hunter|poacher,PG,Action,,,,
Kyle Balda,Jon Hamm,Steve Carell,Minions?,Steve Coogan,antarctica|minion|queen|super villain|villain,PG,Action,,Comedy,,
Lijun Sun,Tom Arnold,Jon Heder,Legend of Kung Fu Rabbit?,Rebecca Black,anthropomorphic animal|china|furry|rabbit,PG,Action,,,Comedy,
Ronny Yu,Lee Arenberg,Marley Shelton,Warriors of Virtue?,Angus Macfadyen,anthropomorphic animal|football|kangaroo|sword and sorcery|water boy,PG,Action,,,,
John G. Avildsen,William Zabka,Martin Kove,The Karate Kid?,William Bassett,apartment|bully|fight|karate|master,PG,Action,Drama,,,
J. Lee Thompson,Gordon Jump,Roddy McDowall,Conquest of the Planet of the Apes?,John Randolph,ape|future|intelligence|revolution|slave revolt,PG,Action,,,,
Matthew Robbins,Ralph Richardson,Ian McDiarmid,Dragonslayer?,Albert Salmi,apprentice|dragon|king|kingdom|wizard,PG,Action,,,,
Joseph Kosinski,Olivia Wilde,Jeff Bridges,TRON: Legacy?,James Frain,arcade|bridge|disappearance|escape|warrior,PG,Action,,,,
Steven Spielberg,Karen Allen,Harrison Ford,Raiders of the Lost Ark?,William Hootkins,archeological dig|archeologist|ark of the covenant|egypt|nazi,PG,Action,,,,
Guy Hamilton,Hervé Villechaize,Christopher Lee,The Man with the Golden Gun?,Desmond Llewelyn,assassin|bikini|girl in a bikini|mission|secret agent,PG,Action,,,,
Jon Amiel,Peter Gallagher,Bill Murray,The Man Who Knew Too Little?,Joanne Whalley,assassin|bomb|dominatrix|mistaken identity|spy,PG,Action,Comedy,,,
Oliver Parker,Tim McInnerny,Daniel Kaluuya,Johnny English Reborn?,Togo Igawa,assassin|chinese|conspiracy|gadget|premier,PG,Action,,Comedy,,
Ronald Neame,Karl Malden,Martin Landau,Meteor?,Brian Keith,asteroid|meteor|nasa|nuclear weapon|satellite,PG,Action,Drama,,,
Lewis Gilbert,Lois Chiles,Desmond Llewelyn,Moonraker?,Lois Maxwell,astronaut|dog|official james bond series|space shuttle|space shuttle transported on a 747,PG,Action,,,,
Peter Hyams,Sam Waterston,David Huddleston,Capricorn One?,Hal Holbrook,astronaut|hoax|journalist|mission|nasa,PG,Action,,,,
Jonathan Frakes,Philip Winchester,Sophia Myles,Thunderbirds?,Brady Corbet,astronaut|island|lady penelope|rescue|the hood,PG,Action,,Comedy,,
Gary Trousdale,Jim Varney,Leonard Nimoy,Atlantis: The Lost Empire?,Cree Summer,atlantis|crew|expedition|journal|museum,PG,Action,,,,
John Cornell,Linda Kozlowski,Paul Hogan,Crocodile Dundee II?,John Meillon,australia|australian|crime boss|crocodile|gangster,PG,Action,,Comedy,,
David McNally,Dyan Cannon,Estella Warren,Kangaroo Jack?,Bill Hunter,australia|body paint|kangaroo|mob|money,PG,Action,,Comedy,,
M. Night Shyamalan,Noah Ringer,Seychelle Gabriel,The Last Airbender?,Aasif Mandvi,avatar|fire|kingdom|tribe|water,PG,Action,,,,
James Wong,Texas Battle,Ian Whyte,Dragonball: Evolution?,Randall Duk Kim,bad|dragon|grandfather|orb|warrior,PG,Action,,,,
Stewart Raffill,John Carradine,Anjelica Huston,The Ice Pirates?,Robert Urich,bar fight|cult film|ice|psychotronic|sword fight,PG,Action,,Comedy,,
Zack Snyder,Richard Roxburgh,Abbie Cornish,Legend of the Guardians: The Owls of Ga'Hoole?,Anthony LaPaglia,barn owl|escape|owl|ruler|soldier,PG,Action,,,,
Lana Wachowski,Kick Gurry,Scott Porter,Speed Racer?,Nicholas Elia,based on anime|based on cartoon|gadget car|racer|speed,PG,Action,,,,
Phil Lord,Will Ferrell,Morgan Freeman,The Lego Movie?,Alison Brie,based on toy|dual personality|evil businessman|good cop bad cop|lego,PG,Action,,,Comedy,
Mamoru Hosoda,Colleen O'Shaughnessey,Lara Jill Miller,Digimon: The Movie?,Mona Marshall,based on video game|box office hit|computer|digimon|internet,PG,Action,,,,
Tom McGrath,Brad Pitt,J.K. Simmons,Megamind?,Will Ferrell,battle|city|planet|prison|superhero,PG,Action,,Comedy,,
Stuart Gillard,John Aylward,Paige Turco,Teenage Mutant Ninja Turtles III?,Matt Hill,battle|japan|magic|samurai|turtle,PG,Action,,Comedy,,
Chris Miller,Constance Marie,Salma Hayek,Puss in Boots?,Amy Sedaris,betrayal|egg|friend|goose|hero,PG,Action,,,Comedy,
David Bowers,Charlize Theron,Nicolas Cage,Astro Boy?,Dee Bradley Baker,betrayal|futuristic|gladiator|robot|scientist,PG,Action,,Comedy,,
Gary Nelson,Maximilian Schell,Robert Forster,The Black Hole?,Yvette Mimieux,black hole|escape|palomino|robot|scientist,PG,Action,,,,
Bobby Farrelly,Brandy Norwood,Ron Howard,Osmosis Jones?,David Hyde Pierce,blood|body|egg|virus|white blood cell,PG,Action,,,Comedy,
Adam Shankman,Brad Garrett,Vin Diesel,The Pacifier?,Tate Donovan,bodyguard|death of husband|male nanny|nanny|wrestling match,PG,Action,Comedy,Drama,,
Andrey Konchalovskiy,Nathan Lane,Shirley Henderson,The Nutcracker in 3D?,Richard E. Grant,box office flop|christmas|christmas eve|critically bashed|toy comes to life,PG,Action,,,,
Sidney J. Furie,Margot Kidder,Jim Broadbent,Superman IV: The Quest for Peace?,William Hootkins,box office flop|dc comics|hair|nuclear disarmament|superman,PG,Action,,,,
Brad Bird,Chris Bauer,Judy Greer,Tomorrowland?,Thomas Robinson,boy genius|futuristic city|inventor|teenage girl|time travel,PG,Action,,,,
Robert Rodriguez,Kristin Davis,Taylor Lautner,The Adventures of Sharkboy and Lavagirl 3-D?,Taylor Dooley,boy|bully|dream|dream sequence|planet,PG,Action,,,,
John Whitesell,Angus T. Jones,Leslie Bibb,See Spot Run?,Paul Sorvino,boy|fbi|mailman|van|witness protection,PG,Action,Comedy,,,
Brad Bird,Harry Connick Jr.,Vin Diesel,The Iron Giant?,M. Emmet Walsh,boy|friend|government agent|maine|robot,PG,Action,,,Comedy,Drama
Simon Wells,Dan Fogler,Elisabeth Harnois,Mars Needs Moms?,Tom Everett Scott,boy|martian|rescue|robot|sexism,PG,Action,,,Comedy,
Don Coscarelli,John Amos,Vanna Bonta,The Beastmaster?,Rip Torn,breasts|critically acclaimed|female frontal nudity|psychotronic film|sword and sorcery,PG,Action,,,,
John Glen,Desmond Llewelyn,Joe Don Baker,The Living Daylights?,Art Malik,british agent|defection|escape|kgb|soviet general,PG,Action,,,,
Guy Hamilton,Geoffrey Holder,Yaphet Kotto,Live and Let Die?,Clifton James,british|cards|heroin|murder|tarot card,PG,Action,,,,
Irvin Kershner,Klaus Maria Brandauer,Bernie Casey,Never Say Never Again?,Barbara Carrera,british|character says now that you're on the case i hope we're going to have some gratuitous sex and violence|cruise missile|missile|nuclear warhead,PG,Action,,,,
Peter Howitt,Natalie Imbruglia,Kevin McNally,Johnny English?,Ben Miller,british|crown jewels|explosion|funeral|spy,PG,Action,,Comedy,,
Andrew Adamson,Pierfrancesco Favino,Peter Dinklage,The Chronicles of Narnia: Prince Caspian?,Damián Alcázar,brother brother relationship|brother sister relationship|good versus evil|king|narnia,PG,Action,,,,
Robert Rodriguez,Cheech Marin,Alexa PenaVega,Spy Kids?,Daryl Sabara,brother sister relationship|espionage|rescue|secret agent|spy,PG,Action,,Comedy,,
Peter Hewitt,Rip Torn,Kevin Zegers,Zoom?,Thomas F. Wilson,bruise|female hero|super strength|superhero|teenage superhero,PG,Action,,,,
Clay Kaytis,Josh Gad,Peter Dinklage,The Angry Birds Movie?,Keegan-Michael Key,butt|downward duck|fish|kingfisher|pig,PG,Action,,Comedy,,
Steven Spielberg,John Belushi,Christopher Lee,1941?,Treat Williams,california|captain|cult film|pearl harbor|submarine,PG,Action,Comedy,,,
Martin Campbell,Nick Chinlund,Michael Emerson,The Legend of Zorro?,Adrian Alonso,california|fight|hero|mask|zorro,PG,Action,,,,
Nicholas Meyer,Kurtwood Smith,Leonard Nimoy,Star Trek VI: The Undiscovered Country?,Nichelle Nichols,captain|explosion|klingon|moon|peace,PG,Action,,,,
William Shatner,Nichelle Nichols,Leonard Nimoy,Star Trek V: The Final Frontier?,Walter Koenig,captain|half brother|klingon|planet|vulcan,PG,Action,,,,
Steven Spielberg,Mackenzie Crook,Toby Jones,The Adventures of Tintin?,Tony Curran,captain|morocco|ship|tintin|treasure,PG,Action,,,,
Kerry Conran,Laurence Olivier,Angelina Jolie Pitt,Sky Captain and the World of Tomorrow?,Bai Ling,captain|pilot|reporter|robot|scientist,PG,Action,,,,
Brad Peyton,Sean Hayes,Jack McBrayer,Cats & Dogs: The Revenge of Kitty Galore?,Katt Williams,cartoon on tv|cat|dog|kitty|special agent,PG,Action,Comedy,,,
Lawrence Guterman,Elizabeth Perkins,Carol Ann Susi,Cats & Dogs?,Miriam Margolyes,cartoon on tv|cat|dog|scientist|secret agent,PG,Action,Comedy,,,
Michael Anderson,Jenny Agutter,Farrah Fawcett,Logan's Run?,Peter Ustinov,cat|computer|cult film|runner|sanctuary,PG,Action,,,,
Eric Brevig,Brendan Fraser,Josh Hutcherson,Journey to the Center of the Earth?,Anita Briem,cave|lost world|missing brother|mountain|venus flytrap,PG,Action,,,,
Steve Carr,Adhir Kalyan,Erick Avari,Paul Blart: Mall Cop?,Allen Covert,cell phone|hostage|mall|security guard|text messaging,PG,Action,Comedy,,,
Shawn Levy,Rami Malek,Robin Williams,Night at the Museum?,Steve Coogan,chaos|museum|museum of natural history|night watchman|watchman,PG,Action,,Comedy,,
Andy Fickman,Daniella Alonso,D.B. Woodside,Paul Blart: Mall Cop 2?,Eduardo Verástegui,character name in title|no opening credits|sequel|wilhelm scream,PG,Action,Comedy,,,
Kevin Allen,Frankie Muniz,Daniel Roebuck,Agent Cody Banks 2: Destination London?,David Kelly,chase|evil scientist|gadget|mind control|tough girl,PG,Action,,Comedy,,
Steven Spielberg,Amrish Puri,Harrison Ford,Indiana Jones and the Temple of Doom?,Kate Capshaw,children|studio logo segues into film|temple|village|white dinner jacket,PG,Action,,,,
Jennifer Yuh Nelson,Gary Oldman,Angelina Jolie Pitt,Kung Fu Panda 2?,Mike Bell,china|kung fu|panda|peacock|tigress,PG,Action,,,Comedy,
Alessandro Carloni,Angelina Jolie Pitt,J.K. Simmons,Kung Fu Panda 3?,Wayne Knight,china|kung fu|panda|pig|village,PG,Action,,,Comedy,
Brian Levant,Amber Valletta,Madeline Carroll,The Spy Next Door?,George Lopez,chinese|cia|single mother|spy|terrorist,PG,Action,Comedy,,,
Michael Pressman,Paige Turco,Kevin Nash,Teenage Mutant Ninja Turtles II: The Secret of the Ooze?,Ernie Reyes Jr.,chop socky|mutant|ninja|shredder|turtle,PG,Action,,Comedy,,
Jon Turteltaub,Omar Benson Miller,Nicolas Cage,The Sorcerer's Apprentice?,Robert Capron,chosen one|enchanted object|love|spell|training,PG,Action,,,,
John Stainton,Aden Young,Steve Irwin,The Crocodile Hunter: Collision Course?,Steve Bastoni,cia|crocodile|satellite|snake|spider,PG,Action,,Comedy,,
Harald Zwart,Frankie Muniz,Daniel Roebuck,Agent Cody Banks?,Chris Gauthier,cia|nanobot|prep school|scientist|teenager,PG,Action,,Comedy,,
Frank Coraci,Reggie Lee,Salma Hayek,Here Comes the Boom?,Charice,claim in title|high school|mixed martial arts|ultimate fighting championship|underdog,PG,Action,Comedy,,,
Guy Hamilton,Carl Weathers,Harrison Ford,Force 10 from Navarone?,Franco Nero,colonel|mission|partisan|spy|traitor,PG,Action,Drama,,,
John Glen,Alison Doody,Patrick Macnee,A View to a Kill?,Tanya Roberts,computer|earthquake|microchip|official james bond series|silicon valley,PG,Action,,,,
Richard Lester,Robert Vaughn,Margot Kidder,Superman III?,Jackie Cooper,computer|high school|kryptonite|smallville|villain,PG,Action,Comedy,,,
Warren Beatty,Warren Beatty,Charlie Korsmo,Dick Tracy?,Seymour Cassel,crime boss|detective|dick tracy|gangster|orphan,PG,Action,Comedy,,,
Stephen Chow,Karen Mok,Wei Zhao,Shaolin Soccer?,Kwok-Kwan Chan,cult film|kung fu|martial arts|shaolin|soccer,PG,Action,Comedy,,,
Robert Stromberg,Sharlto Copley,Angelina Jolie Pitt,Maleficent?,Sam Riley,curse|dark fantasy|fairy|king|kingdom,PG,Action,,,,
Peter Yates,Alun Armstrong,Liam Neeson,Krull?,Lysette Anthony,cyclops|fortress|monster|planet|rescue,PG,Action,,,,
Richard Marquand,Ian McDiarmid,Harrison Ford,Star Wars: Episode VI - Return of the Jedi?,Kenny Baker,death star|emperor|empire|princess|rebel,PG,Action,,,,
George Lucas,Peter Cushing,Harrison Ford,Star Wars: Episode IV - A New Hope?,Kenny Baker,death star|empire|galactic war|princess|rebellion,PG,Action,,,,
Jon Turteltaub,Armando Riesco,Nicolas Cage,National Treasure?,Annie Parisse,declaration of independence|secret society|treasure|treasure hunt|treasure hunter,PG,Action,,Comedy,,
Hal Needham,Michael Beck,Barry Bostwick,Megaforce?,Henry Silva,dictator|electronic music score|one word title|secret headquarters|soldier,PG,Action,,,,
Stefen Fangmeier,Ed Speleers,Djimon Hounsou,Eragon?,Gary Lewis,dragon|dragon rider|fictional war|sword and fantasy|teenage hero,PG,Action,,,,
Dean DeBlois,Djimon Hounsou,Gerard Butler,How to Train Your Dragon 2?,America Ferrera,dragon|father son relationship|husband wife relationship|mother son relationship|viking,PG,Action,,,Comedy,
Tom Reeve,Rollo Weeks,Joan Plowright,George and the Dragon?,Simon Callow,dragon|knight|love|priest|princess,PG,Action,,Comedy,,
Steve Carver,William Sanderson,David Carradine,Lone Wolf McQuade?,Robert Beltran,drugs|martial arts|texas|texas ranger|weapon,PG,Action,,Drama,,
Irvin Kershner,Kenny Baker,Harrison Ford,Star Wars: Episode V - The Empire Strikes Back?,Anthony Daniels,duel|famous twist|rebel|rescue|snowy landscape,PG,Action,,,,
Leonard Nimoy,Nichelle Nichols,Leonard Nimoy,Star Trek III: The Search for Spock?,Walter Koenig,dying planet|planet|regaining one's memory|sacrifice|stabbed to death,PG,Action,,,,
Carlos Saldanha,Maile Flanagan,Denis Leary,Ice Age: Dawn of the Dinosaurs?,Kelly Keaton,egg|lost world|rescue|squirrel|weasel,PG,Action,,,Comedy,
Tim Story,Ioan Gruffudd,Chris Evans,Fantastic 4: Rise of the Silver Surfer?,Andre Braugher,fantastic four|space|strong female character|strong female lead|superheroine,PG,Action,,,,
Hoyt Yeatman,Piper Mackenzie Harris,Kelli Garner,G-Force?,Niecy Nash,fbi director|guinea pig|household appliance|secret agent|talking mouse,PG,Action,,,Comedy,
Lawrence Kasanoff,Larry Miller,Jerry Stiller,Foodfight!?,Harvey Fierstein,femme fatale|food|pun|supermarket|troubled production,PG,Action,,Comedy,,
Clint Eastwood,Warren Clarke,Clint Eastwood,Firefox?,Kenneth Colley,fighter plane|jet fighter|refueling|russia|soviet union,PG,Action,,,,
Carlos Saldanha,Ray Romano,Denis Leary,Ice Age: The Meltdown?,Jay Leno,flood|mammoth|no opening credits|squirrel|valley,PG,Action,,,Comedy,
Tony Scott,Tom Skerritt,Tom Cruise,Top Gun?,Adrian Pasdar,flying|gay subtext|machismo|male objectification|pilot,PG,Action,Drama,,,
Jonathan Frakes,Paula Garcés,Michael Biehn,Clockstoppers?,Jason George,frozen time|stopped time|time freeze|watch|wristwatch,PG,Action,,Comedy,,
Simon Wincer,Treat Williams,Cary-Hiroyuki Tagawa,The Phantom?,Kristy Swanson,ghost|new york city|phantom|skull|superhero,PG,Action,,Comedy,,
Richard Fleischer,Olivia d'Abo,Mako,Conan the Destroyer?,Grace Jones,gods|princess|queen|rescue|wizard,PG,Action,,,,
Takao Okawara,Naomi Nishida,Hiroshi Abe,Godzilla 2000?,Sakae Kimura,godzilla|kaiju|monster|orga|ufo,PG,Action,,Drama,,
Brad Peyton,Dwayne Johnson,Josh Hutcherson,Journey 2: The Mysterious Island?,Kristin Davis,gold|hurricane|island|mountain|mysterious island,PG,Action,,Comedy,,
Brad Bird,Craig T. Nelson,Holly Hunter,The Incredibles?,Lou Romano,hero|island|lawsuit|secret|superhero,PG,Action,,,,
Don Hall,Daniel Henney,Damon Wayans Jr.,Big Hero 6?,Abraham Benrubi,high tech|martial arts|masked man|robot|superhero,PG,Action,,,Comedy,Drama
Robert Rodriguez,Alexa PenaVega,Steve Buscemi,Spy Kids 2: Island of Lost Dreams?,Emily Osment,island|mad scientist|scientist|sequel|spy,PG,Action,,Comedy,,
Nicholas Meyer,Kirstie Alley,Leonard Nimoy,Star Trek II: The Wrath of Khan?,Nichelle Nichols,jamming communications|planet|space station|taunt|trap,PG,Action,,,,
Mark Osborne,Wayne Knight,Angelina Jolie Pitt,Kung Fu Panda?,Dan Fogler,kung fu|kung fu master|master|panda|snow leopard,PG,Action,,,Comedy,
Roger Donaldson,Anthony Hopkins,Liam Neeson,The Bounty?,Laurence Olivier,lieutenant|lifeboat|mutiny|sailing ship|ship,PG,Action,,Drama,,
Kevin Munroe,Sarah Michelle Gellar,Chris Evans,TMNT?,Mako,martial arts master|monster|new york city|turtle|warrior,PG,Action,,,Comedy,
George Lucas,Christopher Lee,Natalie Portman,Star Wars: Episode II - Attack of the Clones?,Hayden Christensen,martial arts|murdered before giving protagonist information|part computer animation|prequel|prequel to cult film,PG,Action,,,,
Jerry Jameson,Jason Robards,M. Emmet Walsh,Raise the Titanic?,Anne Archer,military|mineral|ocean|ship|titanic,PG,Action,,Drama,,
Robert Rodriguez,Salma Hayek,Sylvester Stallone,Spy Kids 3-D: Game Over?,Alexa PenaVega,mission|spy|surfing|trapped|virtual reality,PG,Action,,Comedy,,
Ridley Scott,William Hurt,Mark Addy,Robin Hood?,Scott Grimes,1190s|archer|england|king of england|robin hood,PG-13,Action,,Drama,,
Jonathan Liebesman,Danny Woodburn,Noel Fisher,Teenage Mutant Ninja Turtles?,Jeremy Howard,18 wheeler|mutant|ninja|sewer|turtle,PG-13,Action,,Comedy,,
Tanner Beard,Kevin Alejandro,William McNamara,The Legend of Hell's Gate: An American Conspiracy?,Glenn Morshower,1800s|doc holliday|robbers|sheriff|texas,PG-13,Action,,,,
Peter Weir,Lee Ingleby,James D'Arcy,Master and Commander: The Far Side of the World?,David Threlfall,1800s|napoleonic wars|pursuit|royal navy|ship,PG-13,Action,,Drama,,
David Dobkin,Anna-Louise Plowman,Fann Wong,Shanghai Knights?,Georgina Chapman,1880s|arrow|imperial seal|murder|revenge,PG-13,Action,,Comedy,,
Lawrence Kasdan,Todd Allen,Scott Glenn,Silverado?,Brad Leland,1880s|kiss|small town|table broken in fight|wild west,PG-13,Action,,Drama,,
Luc Besson,Bruce Willis,Milla Jovovich,The Fifth Element?,Gary Oldman,1910s|alien|artificially created woman|love|taxi driver,PG-13,Action,,,,
Russell Mulcahy,Peter Boyle,Jonathan Winters,The Shadow?,John Kapelos,1930s|bomb|city|invisibility|the shadow,PG-13,Action,,,,
Wilson Yip,Lynn Hung,Mike Tyson,Ip Man 3?,Kwok-Kwan Chan,1950s|cancer|hong kong|martial arts school|wing chun,PG-13,Action,,Drama,,
Craig Gillespie,Abraham Benrubi,Michael Raymond-James,The Finest Hours?,Graham McTavish,1950s|coast guard|oil tanker|sinking ship|survival,PG-13,Action,Drama,,,
Angela Robinson,Geoff Stults,Jordana Brewster,D.E.B.S.?,Scoot McNairy,1959 cadillac|diamonds|female villain|force field|voyeurism,PG-13,Action,Comedy,,,
Jay Chandrasekhar,Jessica Simpson,Alice Greczyn,The Dukes of Hazzard?,Michael Weston,1969 dodge charger|bikini|farm|misogynist|tow truck,PG-13,Action,,Comedy,,
John Carpenter,Kate Burton,Victor Wong,Big Trouble in Little China?,Peter Kwong,1980s|airport|cb radio|truck|truck driver,PG-13,Action,,Comedy,,
Ang Lee,Regi Davis,Kevin Rankin,Hulk?,Celia Weston,1980s|c 130 hercules|monster|panzer|san francisco california,PG-13,Action,,,,
Rick Friedberg,Barry Bostwick,Hulk Hogan,Spy Hard?,Nicollette Sheridan,1990s|dentist|hit with a door|martial arts|museum,PG-13,Action,Comedy,,,
Katsuhiro ?tomo,Robin Atkin Downes,William Hootkins,Steamboy?,Rosalind Ayres,19th century|ball|boy|inventor|steam,PG-13,Action,,,,
Martin Campbell,Tony Amendola,Anthony Hopkins,The Mask of Zorro?,Stuart Wilson,19th century|california|revenge|training|zorro,PG-13,Action,,Comedy,,
Sadyk Sher-Niyaz,Aziz Muradillayev,Elina Abai Kyzy,Queen of the Mountains?,Mirlan Abdulayev,19th century|central asia|mother son relationship|ruler|russian empire,PG-13,Action,,Drama,,
Tom Dey,Jason Connery,Xander Berkeley,Shanghai Noon?,Kate Luyben,19th century|chinese|princess|rescue|travel,PG-13,Action,,Comedy,,
Renny Harlin,Ashley Scott,Taylor Cole,12 Rounds?,Nick Gomez,2000s|detective|sadist|terrorism|terrorist,PG-13,Action,,,,
Jonathan Frakes,Alfre Woodard,LeVar Burton,Star Trek: First Contact?,Jonathan Frakes,21st century|borg|borg sphere|captain|sphere,PG-13,Action,,Drama,,
Chris Roberts,David Suchet,Saffron Burrows,Wing Commander?,Jürgen Prochnow,27th century|fighter pilot|orchestral music score|outer space|space opera,PG-13,Action,,,,
Doug Lefler,Nonso Anozie,Colin Firth,The Last Legion?,Owen Teale,5th century|boy|capri|roman legion|soldier,PG-13,Action,,,,
Simon Wincer,Tom Selleck,Alan Rickman,Quigley Down Under?,Ben Mendelsohn,aborigine|australian|australian aborigine|australian outback|rancher,PG-13,Action,,Drama,,
Rawson Marshall Thurber,Thomas Kretschmann,Dwayne Johnson,Central Intelligence?,Megan Park,accountant|blooper|espionage|facebook|high school reunion,PG-13,Action,Comedy,,,
Joe Dante,Denis Leary,Kirsten Dunst,Small Soldiers?,Robert Picardo,action figure|battle|computer|military|toy,PG-13,Action,,Comedy,,
